   6,050	  12,015	   1,050	   9,015	  10,000	   1,000	   6,100	 254,621	  58,145	 119,406	 117,683	
   8,150	  10,100	   1,150	   9,109	  15,800	   2,100	   4,200	 298,163	  73,368	  92,651	  90,123	
  10,200	   8,125	   1,192	   9,125	  22,500	   2,500	   3,500	 387,411	  71,084	  87,691	  83,576	
  12,250	   6,175	   2,250	   9,175	  25,700	   3,510	   2,720	 467,197	  83,567	  78,793	  74,789	
  14,325	   5,200	   4,325	   9,198	  32,500	   4,200	   2,530	 566,547	  93,813	  79,497	  54,316	
  16,350	   4,250	   6,350	   9,251	  35,000	   5,020	   2,100	 653,789	 101,378	  77,082	  32,817	
  18,490	   3,400	   8,411	   9,495	  40,700	   8,200	   1,150	 710,926	 155,579	  67,758	  57,425	
  20,698	   2,500	  10,505	  10,498	  51,800	  10,100	   0,720	 851,381	 160,432	  71,956	  89,519	
  22,900	   2,700	  12,610	  11,598	  65,000	  12,800	   0,540	 987,364	 176,283	  91,123	 121,374	
  18,450	   3,700	  14,695	  13,699	  82,000	  14,400	   0,150	1036,123	 193,657	 112,859	 249,173	
  16,750	   4,750	  15,750	  15,748	  95,400	  14,700	   0,550	1292,341	 278,624	 153,717	 384,136	
  14,800	   5,775	  17,804	  17,775	 102,800	  15,500	   1,760	1088,324	 354,324	 117,965	 479,152	
  12,950	   6,800	  19,850	  19,798	 117,000	  16,300	   2,230	 926,939	 478,926	 155,912	 501,239	
  10,840	   7,850	  18,050	  21,850	 125,780	  16,700	   3,610	 877,128	 588,675	 169,359	 625,482	
   8,910	   8,855	  16,910	  23,855	  97,000	  16,900	   5,160	 605,327	 499,367	 192,924	 740,976	
  15,925	  10,865	  14,925	  25,865	  95,500	  17,500	   8,250	 458,386	 468,567	 218,549	 875,846	
  14,929	  12,885	  12,011	  27,875	  93,900	  17,700	  11,370	 218,859	 353,932	 247,354	 916,124	
  13,933	  14,915	  10,933	  25,899	  91,500	  18,200	  13,260	 195,737	 335,124	 284,167	 863,928	
  12,935	  16,950	   8,935	  23,951	  79,580	  19,100	  15,510	 306,168	 261,946	 316,375	 703,153	
  11,950	  18,975	   6,950	  21,975	  55,400	  19,500	  17,740	 685,761	 151,387	 341,326	 631,195	
  10,810	  20,995	   4,950	  19,015	  31,500	  21,000	  13,140	 890,639	 210,519	 375,651	 571,588	
   8,750	  22,975	   2,108	  17,975	  12,500	  23,560	  11,350	 923,784	 485,142	 344,856	 436,847	
   6,150	  19,950	   1,251	  15,950	  10,800	  25,300	   8,580	1031,438	 688,125	 348,314	 441,842	
   5,200	  18,900	   3,204	  13,915	   8,500	  28,700	   6,740	1121,321	 883,435	 344,716	 439,425	
   4,450	  17,875	   5,248	  11,875	   4,400	  31,560	   4,850	1291,845	 972,834	 329,942	 322,147	
   7,325	  15,865	   8,325	   9,865	   2,500	  27,100	   6,210	1308,614	1080,562	 349,316	 235,954	
   8,350	  13,855	  11,351	   7,855	   5,300	  24,700	   9,520	1529,956	 887,987	 348,231	 150,492	
   9,400	  11,850	  15,408	   5,850	   8,700	  26,200	  10,750	1730,129	 688,951	 347,987	 254,897	
  10,500	   9,775	  17,495	   3,775	  11,200	  23,700	   8,100	1917,152	 455,494	 342,967	 458,289	
  12,600	   7,750	  15,607	   1,750	  14,700	  20,360	   6,100	2278,654	 211,209	 132,856	 542,164	
  14,700	   5,710	  13,697	   3,697	  17,800	  17,700	   4,150	2412,145	  96,197	 115,632	 453,356	
  16,750	   3,603	  11,750	   5,605	  20,100	  13,340	   2,360	2186,243	  77,325	  93,135	 227,168	
  18,800	   2,495	   9,798	   7,495	  40,520	  11,720	   1,350	1862,345	  64,615	  77,824	 106,123	
  19,850	   4,394	   7,850	   9,415	  65,200	   9,900	   2,130	1632,879	  52,534	  63,453	  82,659	
  17,907	   6,245	   5,913	  11,255	  80,760	   7,740	   4,570	1467,156	  45,178	  79,167	  93,834	
  15,910	   8,192	   3,910	  13,205	  91,100	   6,360	   6,750	1270,531	  36,176	  80,836	  91,345	
  13,925	  10,175	   2,925	  11,175	 109,500	   5,700	   9,260	1084,243	  20,364	  87,192	  96,841	
  11,929	  12,125	   1,929	   9,125	 122,900	   4,750	  11,790	 881,956	  10,428	  85,834	  93,952	
   9,010	  14,105	   3,933	   7,091	 108,300	   3,650	  13,120	 616,829	   8,475	 101,985	 109,463	
   7,935	  12,010	   5,935	   5,985	  84,500	   3,520	  15,360	 473,329	  10,924	 128,591	 233,415	
   5,950	  10,110	   7,950	   3,115	  58,600	   2,720	  12,850	 249,421	  24,183	 102,861	 308,613	
   5,020	   8,115	   9,995	   1,115	  35,800	   2,340	  10,340	 225,356	  46,324	 105,817	 207,319	
   4,050	   6,128	  11,950	   2,120	  15,260	   2,160	   8,680	 176,578	  76,457	  78,473	 182,263	
   5,935	   4,131	  13,935	   4,130	   9,520	   1,760	   5,320	 170,948	  95,814	  81,417	  84,132	
   6,925	   2,135	  15,925	   6,135	   4,800	   1,480	   2,160	 168,334	 104,549	  78,653	  61,953	
